1,2073,Acrylic Block Bi-concave,2,,
2,2073,Acrylic Block Rectangular,11,,
3,2073,Acrylic Block Semicircular,13,,
4,2073,Acrylic Block Trapezoidal,2,,
5,1092,Adjustable Bench,1,,
6,2073,Air Glide/ Puck Soccer,7,,
7,2073,Air Pump Joe blow sport,4,,
8,2073,Air Source,1,,
9,2073,Air Table,1,,
10,2073,Air Zooka,1,,
11,2073,Altitude Finder,2,,
12,1091,Ammeter AC,6,,
13,1091,Ammeter DC,23,,
14,1091,Ammeter Micro uA,19,,
15,1090,Balance Electronic OHAUS Adventurer,1,,
16,1091,Balance Electronic OHAUS Adventurer,1,,
17,2073,Balance Electronic Shimadzu,2,,
18,2073,Balance Personal,1,,
19,2073,Balance Triple Beam Ohaus,2,,
20,2073,Ballistic Pendulum,1 set,,
21,2073,Ballistics Car,1,,
22,1091,Bar Holders,8,,
23,2073,Basic Polarization set,2,,
24,1091,Battery Holders Single,58,,
25,1091,Battery Packs,20,,
26,1090,Beaker 100 ml.,8,,
27,1091,Beaker 100 ml.,8,,
28,1090,Beaker 600 ml.,8,,
29,1091,Beaker 600 ml.,8,,
30,2073,Bicycle Wheel,1,,
31,1091,Bismuth Levitation Kit Superconductivity,1,,
32,2073,Bourdon Gauge,1,,
33,2073,Boyle's Law Apparatus (Elasticity of Gases Apparatus),3,,
34,1090,Boyle's Law Apparatus Philip Harris (Pressure Gauge),1,,
35,2073,Breadboard,20,,
36,2073,BRODER Logic Trainer,1,,
37,1090,Bunsen Burners,15,,
38,1091,Bunsen Burners,10,,
39,1092,Calorimeters,19,,
40,1090,Camera Stand,1,,
41,1092,Cans Radiation,9,,
42,2073,Capacitor Simple Form,2,,
43,1091,Capacitors Assorted,1 box,,
44,2073,Capillary Tube Set And Reservoir Mounted,2,,
45,1091,Cathode Ray Tube,4,,
46,1090,C-Clamps,6,,
47,1091,C-Clamps,7,,
48,2073,Centrifugal Force Apparatus,1,,
49,2073,Centrifugal Hoops,1,,
50,2073,Centripetal Force Apparatus,1,,
51,2073,Charles' Law Demo,1,,
52,1090,Climbing Rope,1,,
53,1091,Clip Holders,13,,
54,1091,Coil Spring,3,,
55,1090,Coil Induction,8,,
56,1091,Coil Induction,6,,
57,2073,Collision In Two Dimensions Apparatus,10,,
58,2073,Colour Filters Set of 6,0,,
59,2073,Compass,40,,
60,1091,Connecting Wires Alligator Clips,208,,
61,1091,Connecting Wires Banana Plugs,42,,
62,2073,Coriolis Effect Wheel & Foucault Pendulum (Projection),1,,
63,1091,Craft Knives,12,,
64,1090,Crucible Tong,8,,
65,1091,Crucible Tong,8,,
66,1091,Dewar Flask (N2) Taylor-Wheaton,1,,
67,2073,Diffraction Grating Nuffield Physics,2 sets,,
68,2073,Doppler Ball,2,,
69,2073,Doppler Ball ,2,,
70,1091,Dynamics Cars,11,,
71,1091,Dynamics Track Spring Set,1,,
72,2073,e/m Apparatus,1,,
73,2073,e/m Apparatus USHIDA,1,,
74,1092,Electric Coils (for Calorimeter),9,,
75,2073,Electromagnet,4,,
76,2073,Electromagnet,4,,
77,2073,Electroscopes,8,,
78,2073,Electrostatic Accessories Set,1 set,,
79,2073,Electrostatic Generator Van de Graaff,1,,
80,2073,Electrostatic Materials,2 trays,,
81,1091,Erlenmeyer Flask 1000 ml,3,,
82,2073,EZ - Launch Bottle Rocket Launcher,4,,
83,2073,Falling Body Apparatus,1,,
84,2073,Fiber Optics Rod,2,,
85,2073,Foot Pump KYK,0,,
86,1090,Force Meter 1 N,10,,
87,1090,Force Meter 20 N,14,,
88,1090,Force Meter 5 N,9,,
89,2073,Force Table Spring Balance,4,,
90,2073,Galileo Thermometer,1,,
91,1091,Galvanometer,11,,
92,2073,Glass Block Rectangular,10,,
93,1090,Globe,1,,
94,1091,Glue Guns,10,,
95,1090,Graduated Cylinder,8,,
96,1091,Graduated Cylinder,8,,
97,2073,Guinea and Feather Tube,1,,
98,2073,Gyroscope Precision,1,,
99,2073,Hand-Operated Generator,1,,
100,2073,Hand-Operated Generator GENECON,2,,
101,1090,Heat Proof Mat,10,,
102,1091,Heat Proof Mat,10,,
103,2073,Heater Block Aluminum,4,,
104,2073,Heater Block Copper,4,,
105,2073,Heater Block Steel,4,,
106,2073,Helmholtz Coil,2,,
107,1090,Hooke's Law Apparatus,9,,
108,1090,Hotplate Cimarec 3,1,,
109,2073,Hyman Fire Piston,1,,
110,2073,Iceland Spar (Double-refractor),3,,
111,2073,Insulated Sphere Large,1,,
112,2073,Insulating Platform,1,,
113,2073,Intellimeasure Stanley,4,,
114,1090,Iron Clamps,24,,
115,1091,Iron Clamps,25,,
116,1090,Iron Stands,12,,
117,1091,Iron Stands,10,,
118,1090,Iron Stands large,12,,
119,1091,Iron Stands large,6,,
120,2073,Kettle,2,,
121,1090,Kettle Electric,1,,
122,2073,Kinetic Theory Model Philip Harris,1,,
123,2073,Lab Jack,1,,
124,2073,Lamp Colored 80 W,3,,
125,2073,Lamp Filament,5,,
126,2073,Lamp Infrared,2,,
127,2073,Lamp White,1,,
128,2073,Large Lens Set,1,,
129,1091,Laser,8,,
130,2073,Laser Diffraction Kit,1 box,,
131,2073,Laser Optics Lab Metrologic,1 box,,
132,2073,Laser 3-Beam,1,,
133,1091,Laser Green,2,,
134,2073,Laser Solid State Student Model Philip Harris,2,,
135,2073,Lens Large Set,1 box,,
136,2073,Lenses Double Concave,24,,
137,2073,Lenses Double Convex,40,,
138,2073,Lenses Plano-concave Cylindrical,4,,
139,2073,Lenses Plano-convex ,10,,
140,2073,Lenses Plano-convex Cylindrical,6,,
141,2073,Lenz' Law Apparatus,1 set,,
142,2073,Level Bullseye Circular,0,,
143,1091,Light Bulb Holders,98,,
144,2073,Light Bulbs in circuit board set,10,,
145,2073,Light Meter Digital,1,,
146,1091,Linear Air Track,1,,
147,2073,Loop-the-loop Inclined Plane,1 set,,
148,1091,Magnet Bar,59,,
149,1091,Magnet Horseshoe ALNICO V,1,,
150,1091,Magnet Neodymium,30,,
151,1091,Magnet Round,18,,
152,2073,Magnetic Field Chamber,1,,
153,2073,Magnetizer,1,,
154,1090,Measuring Tape,3,,
155,2073,Mechanics Kit (Blackboard),1 box,,
156,2073,Mercury Arc Light Source,1,,
157,2073,Meter Stick Clamp,25,,
158,2073,Meter Stick Support,14,,
159,1090,Meterstick,15,,
160,1091,Meterstick,16,,
161,2073,Micrometer Caliper,8,,
162,2073,Micrometer Caliper Demonstration,1,,
163,2073,Millikan Oil Drop Apparatus,1,,
164,1091,Mineral Wool,1 big roll,,
165,2073,Mirage,1,,
166,2073,Mirror,50,,
167,2073,Mirror Holder Wood,15,,
168,2073,Mirror Concave,25,,
169,2073,Mirror Convex,15,,
170,2073,Molecular Motion Demonstrator,1 set,,
171,2073,Motor And Generator Demonstration,1,,
172,2073,Motor Controller CENCO,1,,
173,1091,Motor 6 VDC,25,,
174,1091,Multimeter Digital,12,,
175,2073,Multimeter SANWA,1,,
176,2073,Newtonian Demonstrator,1,,
177,2073,Newtons Disc Card,1,,
178,2073,Nuclear Scattering Apparatus,1 set,,
179,2073,Oersted's Law Apparatus,4,,
180,2073,Optical Bench Accessories,2 sets,,
181,2073,Optical Bench Philip Harris,2,,
182,2073,Optics Cable,1,,
183,2073,Optics Kit (Blackboard),1 box,,
184,2073,Oscilloscope OWON,1,,
185,1092,Overflow Can,5,,
186,1092,Overflow Tank Demo,1,,
187,2073,Parabolic Reflector,1 set,,
188,1090,Pendulum Clamp,18,,
189,1091,Photoelectric Experimenter,1,,
190,2073,Photoelectric Experimenter,1,,
191,1091,Planck*s Constant Apparatus,1,,
192,1091,Planck's Constant Apparatus LED NEVA,1,,
193,2073,Plasma Flasher,1,,
194,2073,Polarizing Demonstrator,1 set,,
195,1090,Pot Holder,8,,
196,1091,Pot Holder,8,,
197,2073,Potentiometer,1,,
198,1090,Power Supply 5 kV DC Philip Harris,2,,
199,1090,Power Supply 5 kv EHT Griffin,1,,
200,1090,Power Supply AC/DC Regulated EISCO,4,,
201,1090,Power Supply AC/DC Elenco,4,,
202,1090,Power Supply AC/DC Sargent Welch,4,,
203,1090,Power Supply DC Regulated EXTECH,2,,
204,1091,Power Supply DC Voltage Adjustment Sargeant Welch,1,,
205,1091,Power Supply Lockavolt Griffin,7,,
206,2073,Precision Force Table,1,,
207,2073,Principles Of Electricity Kit,5 sets,,
208,2073,Prism Acrylic,27,,
209,2073,Prism Glass,18,,
210,1090,Projectile Launcher,6,,
211,2073,Projectual Electromagnetic Induction,1,,
212,1090,Protractor Large,10,,
213,2073,Pulley Double Tandem,28,,
214,2073,Pulley Single,12,,
215,2073,Pulley Triple Tandem,29,,
216,2073,Radioactive Source Set,2 sets,,
217,2073,Radioactivity Absorber Set,2 boxes,,
218,2073,Radioactivity Analog Dice-atom,2 boxes,,
219,1090,Radioactivity Demonstrator,1,,
220,2073,Radiometer Double,2,,
221,1090,Ray Box DP-J,6,,
222,1090,Ray Optics And Color Mixing Box,6,,
223,2073,Recoil Again,1,,
224,1092,Refraction Tank,11,,
225,1090,Resistance Box,4,,
226,2073,Resistor Board,9,,
227,1091,Resistors Assorted,1 box,,
228,1090,Resonance Tube Apparatus,1,,
229,1091,Resonance Tube Apparatus,3,,
230,1090,Rheostat Slidewire,12,,
231,2073,Ring and Disk Apparatus,2,,
232,2073,Ripple Tank Apparatus,1,,
233,2073,Rocks And Minerals Large Box,2 boxes,,
234,2073,Rocks And Minerals Medium Box,4 boxes,,
235,2073,Rocks And Minerals Small Box,10 boxes,,
236,2073,Rotation Platform,1,,
237,2073,Rotator Winsco,1,,
238,1091,Rutherford Experiment,2,,
239,2073,Scintillation Probe Shield And Sample Holder OXFORD,1,,
240,1090,Set Squares,6,,
241,1091,Set Squares,14,,
242,2073,Sieve Screen,2,,
243,1090,Signal Generator AUDIO,2,,
244,2073,Singing Rods,1 set,,
245,2073,Slinky,14,,
246,2073,Slitfilm Demonstrator Interference/ Diffraction,29,,
247,2073,Sodium Arc Light Source,1,,
248,2073,Solar Oven,1,,
249,2073,Solar Oven Sun Spot,2,,
250,2073,Solar Panel,9,,
251,2073,Soldering Gun Stanley,4,,
252,2073,Sonometer,2 sets,,
253,2073,Sound Tubes,4,,
254,1091,Speaker,2,,
255,2073,Speaker Mini,6,,
256,2073,Specific Heat Specimens set,9,,
257,2073,Spectrometer Harris Intermediate,2,,
258,2073,Spectroscopes,21,,
259,2073,Spectrum Tube Power Supply,2,,
260,2073,Spectrum Tubes,13,,
261,1091,Springs ( Service Box ),48,,
262,2073,Springs ( Service Box ),1 box,,
263,2073,Steam Engine,1,,
264,2073,Strobelight AMETEK,2,,
265,2073,Strobelight Digital,1,,
266,1092,Sunspotter,1,,
267,1091,Support Horizontal Bar,8,,
268,1091,Switch,23,,
269,2073,Telescope Reading,1,,
270,2073,Tesla coil,1,,
271,1091,Test Tube Holder,8,,
272,1090,Test Tube Rack,8,,
273,1091,Test Tube Rack,8,,
274,2073,Ticker Timer,14,,
275,2073,Ticker Timer Tape,70 rolls,,
276,2073,Ticker Timer Tape White,8 rolls,,
277,2073,Ticker Timer Philip Harris,10,,
278,2073,Toy Car,4,,
279,1090,Tripod,10,,
280,1091,Tripod,10,,
281,2073,Trundle Wheel,1,,
282,1091,Tuning Fork,32,,
283,1091,Tuning Fork Activator,9,,
284,1091,Tuning Fork Set Differential,1 set,,
285,2073,Turntable,1,,
286,1091,Universal Stand,1,,
287,1091,UV Lamp,1,,
288,2073,Vernier Caliper,10,,
289,2073,Vertical Acceleration Demonstrator,1,,
290,2073,Voltage Regulator,1,,
291,1091,Voltmeter DC,21,,
292,2073,Wattmeter YEW,1,,
293,2073,Watt's Governor,1,,
294,2073,Wave (Longitudinal) Model,1,,
295,2073,Wave (Travelling) Model,1,,
296,1090,Weight Holder 1 kg.,4,,
297,2073,Weight Holder Long,4,,
298,1090,Weight Holder,50 g,46,,
299,1090,Weights  1/2 Kg.,11,,
300,1090,Weights 1 Kg.,23,,
301,1090,Weights 2 Kgs.,10,,
302,1090,Weights Brass 1000 g,1,,
303,1090,Weights Brass 500 g,3,,
304,1090,Weights Hooked 100 g,8,,
305,1090,Weights Hooked 1000 g,14,,
306,1090,Weights Hooked 20 g,12,,
307,1090,Weights Hooked 200 g,20,,
308,1090,Weights Hooked 50 g,9,,
309,1090,Weights Hooked 500 g,8,,
310,1090,Weights Slotted 10 g,47,,
311,1090,Weights Slotted 100 g,52,,
312,1090,Weights Slotted 200 g,4,,
313,1090,Weights Slotted 50 g,85,,
314,1090,Weights Slotted 500 g,3,,
315,1090,Wheatstone Bridge,5,,
316,1091,Wheatstone Bridge WINSCO,2,,
317,2073,Wheel and Axle,5,,
318,2073,Wind Generator Eisco,1,,
319,2073,Wind Speed Indicator And Compass ,2,,
320,1090,Wire Gauze,10,,
321,1091,Wire Gauze,10,,
322,1090,Wood Blocks,14,,
323,1090,Wood Planks,9,,
324,2073,Young's Double Slit Apparatus,1,,
325,3034,Bread Board MIYAMA,9,,
326,3034,Choke And Resonance Coil Model ES-2,1,,
327,3034,Lens Holder,4,,
328,3034,Loudspeaker Amplifier Unit,2,,
329,3034,Micrometer Eyepiece Traversing Pattern,2,,
330,3034,Mirror Mounted Plane Adjustable ,4,,
331,3034,Object Screen/ Receiving Screen,8,,
332,3034,Optical Bench,6,,
333,3034,Optical Bench Spare Carriage,12,,
334,3034,Power Regulator DAMON,2,,
335,3034,Projectual Magnetic Effect Of Electric Current,2,,
336,3034,Projectual Magnetic Field Helix Coil,2,,
337,3034,Projectual OHM*s Law Unit,1,,
338,3034,Projectual Solenoid-Electromagnet,2,,
339,3034,Revolving Diaphragm And Screen,1,,
340,3034,Signal Generator and Amplifier,1,,
341,3034,Small Object Box,1,,
342,3034,Spectrometer,1,,
343,3034,Timer Scaler,1,,
344,3034,Transparencies,2 sets,,